team,discord_id,twitch,youtube
49ers,<@706831264735756412>,https://twitch.tv/legacy_49ers_owner,https://youtube.com/@legacy_49ers_owner
Bears,<@770967488582549417>,https://twitch.tv/legacy_bears_owner,https://youtube.com/@legacy_bears_owner
Bengals,<@835103712429342422>,https://twitch.tv/legacy_bengals_owner,https://youtube.com/@legacy_bengals_owner
Bills,<@899239936276135427>,https://twitch.tv/legacy_bills_owner,https://youtube.com/@legacy_bills_owner
Black Knights,<@963376160122928432>,https://twitch.tv/legacy_black_knights_owner,https://youtube.com/@legacy_black_knights_owner
Browns,<@127512383969721437>,https://twitch.tv/legacy_browns_owner,https://youtube.com/@legacy_browns_owner
Buccaneers,<@191648607816514442>,https://twitch.tv/legacy_buccaneers_owner,https://youtube.com/@legacy_buccaneers_owner
Cardinals,<@255784831663307447>,https://twitch.tv/legacy_cardinals_owner,https://youtube.com/@legacy_cardinals_owner
Chargers,<@319921055510100452>,https://twitch.tv/legacy_chargers_owner,https://youtube.com/@legacy_chargers_owner
Chiefs,<@384057279356893457>,https://twitch.tv/legacy_chiefs_owner,https://youtube.com/@legacy_chiefs_owner
Colts,<@448193503203686462>,https://twitch.tv/legacy_colts_owner,https://youtube.com/@legacy_colts_owner
Commanders,<@512329727050479467>,https://twitch.tv/legacy_commanders_owner,https://youtube.com/@legacy_commanders_owner
Condors,<@576465950897272472>,https://twitch.tv/legacy_condors_owner,https://youtube.com/@legacy_condors_owner
Dolphins,<@640602174744065477>,https://twitch.tv/legacy_dolphins_owner,https://youtube.com/@legacy_dolphins_owner
Dragons,<@704738398590858482>,https://twitch.tv/legacy_dragons_owner,https://youtube.com/@legacy_dragons_owner
Eagles,<@768874622437651487>,https://twitch.tv/legacy_eagles_owner,https://youtube.com/@legacy_eagles_owner
Falcons,<@833010846284444492>,https://twitch.tv/legacy_falcons_owner,https://youtube.com/@legacy_falcons_owner
Giants,<@897147070131237497>,https://twitch.tv/legacy_giants_owner,https://youtube.com/@legacy_giants_owner
Jaguars,<@961283293978030502>,https://twitch.tv/legacy_jaguars_owner,https://youtube.com/@legacy_jaguars_owner
Jets,<@125419517824823507>,https://twitch.tv/legacy_jets_owner,https://youtube.com/@legacy_jets_owner
Lions,<@189555741671616512>,https://twitch.tv/legacy_lions_owner,https://youtube.com/@legacy_lions_owner
Packers,<@253691965518409517>,https://twitch.tv/legacy_packers_owner,https://youtube.com/@legacy_packers_owner
Panthers,<@317828189365202522>,https://twitch.tv/legacy_panthers_owner,https://youtube.com/@legacy_panthers_owner
Raiders,<@381964413211995527>,https://twitch.tv/legacy_raiders_owner,https://youtube.com/@legacy_raiders_owner
Rams,<@446100637058788532>,https://twitch.tv/legacy_rams_owner,https://youtube.com/@legacy_rams_owner
Ravens,<@510236860905581537>,https://twitch.tv/legacy_ravens_owner,https://youtube.com/@legacy_ravens_owner
Saints,<@574373084752374542>,https://twitch.tv/legacy_saints_owner,https://youtube.com/@legacy_saints_owner
Seahawks,<@638509308599167547>,https://twitch.tv/legacy_seahawks_owner,https://youtube.com/@legacy_seahawks_owner
Steelers,<@702645532445960552>,https://twitch.tv/legacy_steelers_owner,https://youtube.com/@legacy_steelers_owner
Texans,<@766781756292753557>,https://twitch.tv/legacy_texans_owner,https://youtube.com/@legacy_texans_owner
Titans,<@830917980139546562>,https://twitch.tv/legacy_titans_owner,https://youtube.com/@legacy_titans_owner
Vikings,<@895054203986339567>,https://twitch.tv/legacy_vikings_owner,https://youtube.com/@legacy_vikings_owner
